node,new_score,original_score,diff(new-origin)
anon_S6110E,456,456,0
anon_S4520E,691,691,0
anon_S5794E,737.14,604,133.14
anon_S1362E,693,693,0
anon_S1528E,714.42,643,71.42
anon_S2153E,620,531,89
anon_S2884E,879.91,509,370.91
anon_S2182E,735.08,-1,na
anon_S5967E,778,778,0
anon_S1908E,632,453,179
anon_S1206E,-1,-1,na
anon_S1761E,642,591,51
anon_S3711E,885.35,682,203.35
anon_S4127E,440,580,-140
anon_S216E,589,589,0
anon_S5581E,899.86,753,146.86
anon_S5266E,898.55,544,354.55
anon_S3289E,849.83,598,251.83
anon_S4887E,631,631,0
anon_S4957E,527,527,0
anon_S3918E,733.14,-1,na
anon_S4585E,837.58,456,381.58
anon_S2967E,611.06,541,70.06
anon_S1622E,649,613,36
anon_S5825E,874.42,534,340.42
anon_S1293E,431,431,0
anon_S5023E,-1,-1,na
anon_S3385E,647,594,53
anon_S3780E,661,585,76
anon_S1439E,-1,-1,na
anon_S962E,590,590,0
anon_S3526E,658,658,0
anon_S63E,870.13,496,374.13
anon_S395E,584,584,0
anon_S348E,579,579,0
anon_S3413E,657.8,553,104.8
anon_S4092E,578.89,533,45.89
anon_S5654E,502,502,0
anon_S4753E,717.2,575,142.2
anon_S1728E,893.28,610,283.28
anon_S3858E,888.14,539,349.14
anon_S4452E,657.8,-1,na
anon_S4763E,687,526,161
anon_S602E,689,689,0
anon_S5289E,896.81,745,151.81
anon_S3172E,733.14,623,110.14
anon_S3803E,588,478,110
anon_S886E,561,561,0
anon_S2371E,731.98,628,103.98
anon_S4481E,565,650,-85
anon_S5997E,744.89,604,140.89
anon_S4836E,620,596,24
anon_S2004E,899.48,490,409.48
anon_S4881E,-1,-1,na
anon_S1457E,378,627,-249
anon_S108E,616,616,0
anon_S2821E,681,504,177
anon_S944E,581,581,0
anon_S3540E,-1,-1,na
anon_S1170E,-1,-1,na
anon_S1187E,-1,-1,na
anon_S2594E,683,490,193
anon_S2549E,657.8,509,148.8
anon_S5664E,635,635,0
anon_S2472E,709,567,142
anon_S748E,518,518,0
anon_S5345E,-1,-1,na
anon_S2709E,849.65,607,242.65
anon_S4249E,849.65,380,469.65
anon_S5596E,899.95,764,135.95
anon_S5531E,-1,-1,na
anon_S3618E,879.91,558,321.91
anon_S5880E,609,-1,na
anon_S1784E,642,606,36
anon_S4363E,743.52,577,166.52
anon_S2789E,664,589,75
anon_S5444E,700,534,166
anon_S2353E,620,551,69
anon_S2992E,878.01,-1,na
anon_S1511E,748.02,456,292.02
anon_S5931E,607,607,0
anon_S4345E,514,514,0
anon_S1077E,620,613,7
anon_S162E,742.04,556,186.04
anon_S3698E,565,651,-86
anon_S871E,623,623,0
anon_S4833E,559,559,0
anon_S4194E,-1,-1,na
anon_S5278E,899.86,521,378.86
anon_S2632E,853.43,567,286.43
anon_S5517E,573,573,0
anon_S2685E,899.48,542,357.48
anon_S5187E,700,438,262
anon_S2357E,620,639,-19
anon_S3240E,596,568,28
anon_S2898E,840.68,676,164.68
anon_S2763E,681,463,218
anon_S4818E,694,694,0
anon_S2149E,744.05,643,101.05
anon_S5325E,743.19,573,170.19
anon_S766E,568,568,0
anon_S2506E,849.65,482,367.65
anon_S317E,744.34,-1,na
anon_S5178E,898,594,304
anon_S99E,-1,-1,na
anon_S1556E,825.78,733,92.78
anon_S1941E,649,469,180
anon_S1030E,708,708,0
anon_S406E,441,441,0
anon_S5836E,740.28,-1,na
anon_S3763E,792,514,278
anon_S2280E,888.3,543,345.3
anon_S166E,794.59,619,175.59
anon_S2317E,651,540,111
anon_S4415E,821.29,532,289.29
anon_S1603E,853.43,641,212.43
anon_S3266E,674.96,690,-15.04
anon_S1272E,766,766,0
anon_S1223E,648,648,0
anon_S356E,493,493,0
anon_S3080E,657.8,321,336.8
anon_S3732E,531.28,723,-191.72
anon_S2167E,717.27,618,99.27
anon_S2818E,891.96,547,344.96
anon_S5615E,578,578,0
anon_S2555E,858.18,555,303.18
anon_S2500E,661,363,298
anon_S4013E,849.65,540,309.65
anon_S2018E,708,550,158
anon_S3979E,724.29,546,178.29
anon_S3011E,812,581,231
anon_S4016E,853.43,537,316.43
anon_S1086E,505,505,0
anon_S2863E,657.8,578,79.8
anon_S3313E,578,-1,na
anon_S4156E,525,525,0
anon_S4671E,536,536,0
anon_S296E,731.98,710,21.98
anon_S553E,-1,-1,na
anon_S929E,582,582,0
anon_S3567E,635,635,0
anon_S2236E,899.87,673,226.87
anon_S4977E,620,482,138
anon_S5720E,609,541,68
anon_S3957E,724.29,588,136.29
anon_S3467E,626,491,135
anon_S4384E,793.72,-1,na
anon_S2497E,602,485,117
anon_S2420E,657.8,597,60.8
anon_S4860E,726.48,536,190.48
anon_S2098E,649,764,-115
anon_S2023E,812,719,93
anon_S290E,849.26,616,233.26
anon_S2840E,858.18,464,394.18
anon_S437E,392,392,0
anon_S3157E,849.65,649,200.65
anon_S3589E,602,-1,na
anon_S4471E,657.8,-1,na
anon_S787E,-1,-1,na
anon_S6036E,-1,-1,na
anon_S5483E,743.93,562,181.93
anon_S336E,510,510,0
anon_S5478E,558,558,0
anon_S411E,-1,-1,na
anon_S847E,737,737,0
anon_S3640E,731.98,475,256.98
anon_S2045E,602,641,-39
anon_S5000E,877.71,549,328.71
anon_S624E,657,657,0
anon_S1418E,598,598,0
anon_S2795E,859.99,531,328.99
anon_S987E,574,574,0
anon_S17E,588,588,0
anon_S3509E,657.8,438,219.8
anon_S4038E,578,-1,na
anon_S3989E,849.65,696,153.65
anon_S1798E,602,363,239
anon_S480E,468,468,0
anon_S5321E,566,566,0
anon_S4790E,496,496,0
anon_S2894E,731.98,-1,na
anon_S4941E,487,573,-86
anon_S5578E,821.53,587,234.53
anon_S1873E,898.22,498,400.22
anon_S2914E,723,675,48
