node,new_score,original_score,diff
anon_S4630,600.1689601,692,-91.83103992
anon_S2263,631.2993752,723,-91.70062482
anon_S4703,601.5379006,693,-91.46209944
anon_S6074,732.5647263,824,-91.43527373
anon_S1360,459.6257355,551,-91.37426446
anon_S4015,566.7507516,658,-91.24924842
anon_S1697,622.8181419,714,-91.18185806
anon_S5340,608.9406688,700,-91.05933117
anon_S5435,549.0953785,640,-90.90462152
anon_S4284,602.1264091,693,-90.87359092
anon_S556,474.2293811,565,-90.77061891
anon_S471,619.5729037,710,-90.42709632
anon_S5750,646.7710224,737,-90.22897764
anon_S3396,529.7956796,620,-90.20432037
anon_S1744,622.8121159,713,-90.18788408
anon_S1076,576.0934368,666,-89.90656318
anon_S1522,515.1467344,605,-89.85326555
anon_S4332,620.4999883,710,-89.50001169
anon_S5976,608.6203127,698,-89.3796873
anon_S1398,459.6257735,549,-89.37422655
anon_S5504,593.8583104,683,-89.14168965
anon_S3705,624.9985296,714,-89.00147044
anon_S4559,436,525,-89
anon_S3357,501.1375499,590,-88.86245009
anon_S1758,515.1477167,604,-88.85228325
anon_S4289,602.1631936,691,-88.83680639
anon_S6118,588.1692631,677,-88.83073693
anon_S2784,489.4361016,578,-88.5638984
anon_S4944,575.448819,664,-88.55118103
anon_S3732,634.7601997,723,-88.23980033
anon_S3567,546.7941787,635,-88.20582133
anon_S1725,622.8054076,711,-88.19459244
anon_S1519,622.8123321,711,-88.1876679
anon_S5615,489.9288318,578,-88.07116821
anon_S2485,501.1365653,589,-87.86343472
anon_S2881,438.1834704,526,-87.81652959
anon_S5443,549.1030454,636,-86.89695459
anon_S3957,501.1039257,588,-86.89607428
anon_S1580,529.2553781,616,-86.74462193
anon_S2246,566.7603421,653,-86.2396579
anon_S5275,500.8462871,587,-86.1537129
anon_S4941,487,573,-86
anon_S777,630.1034141,716,-85.89658593
anon_S2185,515.1506637,601,-85.84933635
anon_S759,539.2418415,625,-85.75815851
anon_S5632,490.4469232,576,-85.55307677
anon_S5397,648.7692097,734,-85.23079027
anon_S4375,535.7877121,621,-85.21228787
anon_S420,623.9962748,709,-85.00372519
anon_S6063,635.0693642,720,-84.9306358
anon_S5354,592.0964862,677,-84.90351378
anon_S1787,623.1237991,708,-84.87620092
anon_S5061,600.1785234,685,-84.82147655
anon_S739,626.3368226,711,-84.66317738
anon_S3559,612.6040597,697,-84.39594025
anon_S3698,566.9252971,651,-84.07470291
anon_S5476,611.9390914,696,-84.06090859
anon_S1514,650.9675496,735,-84.03245043
anon_S4793,488.9870322,573,-84.01296784
anon_S1561,651.0002625,735,-83.99973748
anon_S5441,549.1145913,633,-83.88540874
anon_S4020,501.1165932,585,-83.8834068
anon_S4286,602.1212094,686,-83.87879055
anon_S5364,546.1310694,630,-83.86893064
anon_S4672,517.1898705,601,-83.8101295
anon_S3951,515.2020171,599,-83.79798288
anon_S3697,515.2283341,599,-83.77166593
anon_S1403,459.6258326,543,-83.37416744
anon_S5302,596.7334054,680,-83.26659464
anon_S5805,646.7836657,730,-83.21633433
anon_S5054,581.8182148,665,-83.1817852
anon_S4481,566.8420051,650,-83.15799489
anon_S3850,566.9042364,650,-83.09576356
anon_S1430,552.9272919,636,-83.07270807
anon_S741,659.9578556,743,-83.04214436
anon_S3648,515.1946464,598,-82.80535356
anon_S1949,631.2341091,714,-82.76589091
anon_S1377,459.6258424,542,-82.37415759
anon_S5413,534.6263439,617,-82.37365613
anon_S1365,459.6218018,541,-81.37819819
anon_S2243,622.6821693,704,-81.31783066
anon_S6010,569.7073909,651,-81.29260912
anon_S12,663.8938692,745,-81.10613085
anon_S4497,568.1067271,649,-80.89327294
anon_S22,663.3686377,744,-80.63136229
anon_S197,596.6448688,677,-80.35513121
anon_S780,556.8713883,637,-80.12861166
anon_S128,567.7037809,647,-79.2962191
anon_S3456,566.7737688,646,-79.22623118
